Subfolder,Pattern,Ratio
特征值,GB-RTS-G05-001-01,1
特征值,GB-RTS-G05-001-02,1
特征值,GB-RTS-G05-001-03,1
特征值,GB-RHS-G05-001-01,1
特征值,GB-RHS-G05-001-02,1
特征值,GB-RHS-G05-001-03,1
特征值,GB-DIS-P04-001-01-X,100
特征值,GB-DIS-P05-001-01-X,100
特征值,GB-DIS-P06-001-01-X,100
特征值,GB-DIS-P04-001-01-Y,100
特征值,GB-DIS-P05-001-01-Y,100
特征值,GB-DIS-P06-001-01-Y,100
波形,GB-DIS-P04-001-01-X,100
波形,GB-DIS-P05-001-01-X,100
波形,GB-DIS-P06-001-01-X,100
波形,GB-DIS-P04-001-01-Y,100
波形,GB-DIS-P05-001-01-Y,100
波形,GB-DIS-P06-001-01-Y,100
特征值,GB-DIS-G05-001-01Y,10
特征值,GB-DIS-G05-001-02Y,10
特征值,GB-DIS-G05-002-01Y,10
特征值,GB-DIS-G05-002-02Y,10
特征值,GB-DIS-G05-002-03Y,10
特征值,GB-DIS-G05-003-01Y,10
特征值,GB-DIS-G05-003-02Y,10
特征值,GB-DIS-G06-001-01Y,10
特征值,GB-DIS-G06-001-02Y,10
特征值,GB-DIS-G06-002-01Y,10
特征值,GB-DIS-G06-002-02Y,10
特征值,GB-DIS-G06-002-03Y,10
特征值,GB-DIS-G06-003-01Y,10
特征值,GB-DIS-G06-003-02Y,10
波形,GB-VIB-G04-001-01,100
波形,GB-VIB-G05-001-01,100
波形,GB-VIB-G05-002-01,100
波形,GB-VIB-G05-003-01,100
波形,GB-VIB-G06-001-01,100
波形,GB-VIB-G06-002-01,100
波形,GB-VIB-G06-003-01,100
波形,GB-VIB-G07-001-01,100
